"Título";"Subtítulo";"Ingredientes";"Calorias";"Tempo de Preparo";"Modo de Preparo";"Tags"
"Burrito de Café da Manhã";"Energia pura para começar o seu dia";"250 g de farinha de trigo|480 g de iogurte grego|1 colher de chá de fermento químico|1 pitada de sal|5 ovos mexidos|2 colheres de sopa de manteiga ou margarina light|1 tomate em cubos|1 cebola roxa fatiada|5 fatias pequenas de queijo muçarela light|1/3 de abacate fatiado|1/2 xícara de ketchup zero|2 colheres de sopa de sriracha ou molho de pimenta";"448 kcal";"30 min";"**Tortilha:**
 Misture todos os ingredientes até formar uma massa homogênea. Espalhe em frigideira antiaderente formando discos finos e cozinhe até firmar, virando uma vez.

**Recheio:**
 Prepare os ovos mexidos e reserve. Corte os legumes e o abacate.

**Montagem:**
 Divida o recheio entre as tortilhas, enrole e doure rapidamente na frigideira.";"Saudável|Salgado|Vegetariano|Café da Manhã"
"Pizza Saudável de Batata";"A noite da pizza ficou muito mais saudável";"2 a 6 batatas cozidas|200 a 400 g de queijo muçarela|1 tomate em rodelas|Molho de tomate pronto ou caseiro";"288 kcal";"35 min";"- Unte uma forma, espalhe as batatas amassadas formando a base.
- Tempere com sal, páprica e azeite.
- Asse até dourar.
- Cubra com molho, queijo e tomate e volte ao forno até derreter.";"Saudável|Salgado|Vegetariano|Sem Glúten"
"Bombom de Forma Saudável";"A sobremesa que derrete na boca";"5 bananas|250 g de chocolate meio amargo";"181 kcal";"4h 15min";"- Bata as bananas no liquidificador até virar creme.
- Derreta o chocolate e adicione aos poucos ao liquidificador, batendo até incorporar.
- Despeje em forma forrada, leve à geladeira por 4 horas, desenforme e sirva.";"Saudável|Doce|Vegetariano|Vegano|Sem Glúten|Sem Lactose"
"Pão com Ovo Gourmet";"Transforme o simples em algo gourmet";"1 pão|2 ovos cozidos|1 colher de sopa de requeijão|30 g de queijo muçarela";"390 kcal";"15 min";"- Amasse os ovos com o requeijão e cheiro-verde, se desejar.
- Corte o pão ao meio, recheie com os ovos, cubra com o queijo e leve à air fryer até dourar.";"Saudável|Salgado|Rápido|Vegetariano|Café da Manhã|Low Carb"
"Brownie Proteico";"O snack proteico que você precisava";"2/3 xícara (80 g) de farinha de trigo ou aveia|4 colheres de sopa (40 g) de caseína, leite em pó ou proteína vegetal|1/2 xícara (60 g) de cacau 100%|1/2 colher de chá de bicarbonato|1/2 colher de chá de sal|200 g de iogurte grego desnatado|2/3 xícara (160 g) de leite desnatado|2 colheres de sopa (28 g) de manteiga|2 ovos|1/2 colher de sopa de adoçante eritritol|60 g de chocolate 70% picado";"181 kcal";"25 min";"- Misture os ingredientes secos.
- Adicione os úmidos e misture até formar a massa.
- Despeje em forma forrada e asse a 180 °C por 13 a 15 minutos, adicionando o chocolate na metade do tempo.";"Saudável|Doce|Vegetariano"
"Panqueca Saudável de Frigideira";"Leve, versátil e deliciosa";"1 ovo|40 g de farinha de aveia|120 ml de leite desnatado|1/2 colher de café de sal|Pimenta-do-reino a gosto|150 g da proteína de preferência|3/4 xícara de extrato de tomate|3 colheres de sopa de requeijão light|3 fatias de queijo";"268 kcal";"20 min";"- Bata os ingredientes da massa no liquidificador.
- Faça discos em frigideira untada.
- Recheie, dobre e volte à frigideira.
- Cubra com molho, requeijão e queijo e tampe até derreter.";"Saudável|Salgado|Rápido|Vegetariano|Café da Manhã"
"Escondidinho de Frango Saudável";"O prato que abraça o coração";"3 batatas médias cozidas|Frango desfiado temperado|40 g de queijo muçarela";"260 kcal";"25 min";"- Amasse as batatas e divida em duas partes.
- Em uma forma, coloque metade do purê, espalhe o frango e cubra com o restante.
- Finalize com o queijo e leve ao forno ou air fryer até dourar.";"Saudável|Salgado|Sem Glúten"
"Arroz Frito com Carne e Pimenta";"Um toque oriental no seu dia a dia";"500 g de paleta ou acém em tiras|1/4 colher de chá de bicarbonato|1 colher de chá de pimenta-do-reino|5 colheres de sopa de shoyu (dividido)|1 colher de chá de óleo de canola|3 ovos batidos|2 xícaras de legumes mistos|4 dentes de alho ralados|2 1/2 xícaras de arroz cozido|1 colher de sopa de mel|1 colher de chá de óleo de gergelim|Cebolinha picada|1/4 xícara de maionese light|1 colher de sopa de vinagre de arroz|2 colheres de chá de sriracha";"518 kcal";"35 min";"- Marine a carne com shoyu, bicarbonato e pimenta por 15 minutos.
- Doure em frigideira quente com metade do óleo.
- Afaste a carne, coloque o restante do óleo e mexa os ovos.
- Refogue alho e legumes, acrescente arroz, shoyu restante, mel e óleo de gergelim.
- Finalize com cebolinha e molho.";"Saudável|Doce|Sem Glúten|Sem Lactose"
"Macarrão ao Molho Branco Fit";"Cremosidade máxima com ingredientes leves";"1/2 cebola pequena picada|60 g de creme de ricota light|60 g de requeijão light|2 a 3 conchas da água do cozimento do macarrão|1 fatia de queijo muçarela light|Sal e pimenta a gosto|180 g de macarrão cozido";"520 kcal";"15 min";"- Refogue a cebola, adicione o creme de ricota e o requeijão.
- Acrescente o macarrão e a água do cozimento aos poucos até formar um molho cremoso.";"Saudável|Salgado|Rápido|Vegetariano"
"Mousse Saudável de Maracujá";"A queridinha de quem ama doce";"400 g de iogurte desnatado|100 ml de leite desnatado|100 ml de suco concentrado de maracujá|80 g de leite em pó desnatado ou whey|1 colher de sopa de xilitol|100 g de chocolate|20 ml de leite desnatado|90 g de iogurte grego zero|Pitada de sal";"280 kcal";"2h 20min";"- Bata todos os ingredientes da base no mixer e distribua em potinhos.
- Leve à geladeira até firmar.
- Derreta o chocolate com o leite, deixe esfriar, misture o iogurte e coloque por cima.
- Finalize com pitada de sal e leve à geladeira novamente.";"Saudável|Doce|Vegetariano|Sem Glúten|Low Carb"
"Bolinho de Batata";"Pequenos no tamanho, gigantes no sabor";"3 batatas cozidas|1 xícara de frango desfiado temperado|1 xícara de queijo muçarela ralado";"137 kcal";"35 min";"- Amasse as batatas, misture o frango e o queijo.
- Modele bolinhas e leve ao forno ou air fryer até dourar.";"Saudável|Salgado|Sem Glúten"
"Salada de Macarrão com Frango";"Refeição completa e muito colorida";"240 g de macarrão parafuso seco|200 g de pepino em cubos|50 g de cebola roxa fatiada|170 g de milho|120 g de cenoura em cubos ou ralada|100 g de azeitona fatiada|1 pimenta dedo-de-moça sem sementes|240 g de peito de frango|Sal, páprica, alho em pó, cebola em pó, pimenta caiena e pimenta-do-reino|1/2 colher de chá de azeite|270 g de iogurte grego desnatado|1 colher de sopa de mostarda|60 g de maionese light|Suco de 1/2 limão|Salsa a gosto|Sal a gosto";"407 kcal";"40 min";"- Grelhe o frango e corte em cubos.
- Cozinhe o macarrão até passar levemente do ponto e deixe esfriar.
- Misture todos os ingredientes do molho, acrescente a massa, o frango e os legumes.
- Misture bem.";"Saudável|Salgado"
"Esfiha de Air Fryer (3 Ingredientes)";"A receita de 3 ingredientes que você vai amar";"200 g de batata cozida e amassada|1 colher de sopa cheia de farinha de aveia (10 g)|Sal a gosto";"87 kcal";"25 min";"- Misture tudo até ficar homogêneo e deixe descansar por 5 minutos.
- Modele no tamanho desejado, pincele gema ou ketchup e leve à air fryer a 170 °C por 15 minutos, virando na metade do tempo.
- Recheie e volte à air fryer apenas para gratinar.";"Saudável|Salgado|Vegetariano|Vegano|Sem Lactose"
"Torta de Frango Cremosa Saudável";"Cremosa por dentro e irresistível por fora";"3 ovos|200 g de frango desfiado|100 g de creme de ricota ou cottage|100 g de tapioca|80 g de milho|1/2 xícara de cebolinha|Sal e pimenta a gosto|Queijo para finalizar (opcional)";"205 kcal";"30 min";"- Misture todos os ingredientes, acrescente 1 colher de sopa de fermento, despeje em forma untada e finalize com queijo, se desejar.
- Leve ao forno ou air fryer a 180 °C por 20 minutos.";"Saudável|Salgado|Sem Glúten"
"Frango Desfiado Teriyaki com Mel";"Explosão de sabores agridoces";"11 sobrecoxas sem osso e sem pele (1.320 g)|7 colheres de sopa de shoyu|4 colheres de sopa de mel|2 colheres de sopa de vinagre de arroz|2 pedaços de gengibre ralado|3 dentes de alho ralados|3 colheres de sopa de amido de milho|2 talos de cebolinha|1/2 xícara de maionese light|2 colheres de sopa de molho de pimenta|2 colheres de chá de mostarda Dijon|Sal a gosto|500 g de arroz branco|1 1/4 colher de chá de sal";"504 kcal";"45 min";"**Frango:**
 Coloque todos os ingredientes do frango em panela de pressão, cozinhe por 25 minutos após pegar pressão. Desfie.

**Arroz:**
 Cozinhe normalmente com sal.

**Maionese:**
 Misture todos os ingredientes.

**Finalização:**
 Sirva o frango com arroz, maionese e cebolinha.";"Saudável|Doce|Sem Glúten|Sem Lactose"
"Frango Adobo";"Tradição e sabor em uma versão leve";"900 g de sobrecoxa de frango sem pele e com osso|8 dentes de alho ralados (32 g)|1 pimenta dedo-de-moça sem sementes (6 g)|3 folhas de louro|1/4 xícara (60 g) de shoyu|1/4 xícara (60 g) de vinagre de arroz|2 colheres de sopa (30 g) de mel|1/2 xícara (120 g) de água|1 colher de sopa (10 g) de amido de milho|1/4 xícara (50 g) de maionese light|1 colher de sopa (15 g) de molho de pimenta|1 colher de chá (5 g) de mostarda amarela|600 g de arroz branco cozido";"443 kcal";"45 min";"- Em uma panela grande, cozinhe o frango com o louro, alho, pimenta, shoyu, vinagre, mel e água até ficar macio.
- Retire o frango, desfie e reserve.
- Dissolva o amido em um pouco de água, adicione ao caldo e ferva até engrossar.
- Volte o frango desfiado ao molho e misture bem.
- Sirva com arroz branco, maionese picante, cebolinha e gergelim, se desejar.";"Saudável|Doce|Sem Glúten|Sem Lactose"
"Frango com Batata Cremosa";"Prato único que satisfaz toda a família";"3 batatas médias|3 peitos de frango|100 g de queijo muçarela|100 g de requeijão light";"560 kcal";"35 min";"- Corte o frango em cubos e tempere com alho, páprica, açafrão e pimenta-caiena.
- Corte as batatas em cubinhos e tempere com os mesmos temperos.
- Em duas panelas separadas, doure o frango e as batatas.
- Na panela do frango, adicione o requeijão e mexa até incorporar.
- Acrescente as batatas, misture levemente e finalize com o queijo por cima.
- Tampe até o queijo derreter e sirva.";"Saudável|Salgado|Sem Glúten"
"Batata Recheada Fit";"O clássico das lanchonetes agora na sua casa";"2 batatas grandes|1 xícara de frango desfiado temperado|2 colheres de sopa de requeijão|2 fatias de queijo";"420 kcal";"60 min";"- Lave as batatas, embrulhe em papel-alumínio e asse na airfryer por 40–50 minutos.
- Corte ao meio, retire o miolo e amasse em uma tigela.
- Misture o frango e o requeijão ao purê.
- Recheie as batatas, cubra com o queijo e leve novamente à airfryer até derreter.
- Sirva em seguida.";"Saudável|Salgado|Sem Glúten"
"Cookie Fit";"O docinho perfeito para o café da tarde";"1 ovo|2 colheres de sopa de azeite|1/2 copo de adoçante culinário|Essência de baunilha (opcional)|1 copo de farinha de aveia|1/2 colher de chá de bicarbonato|50 g de chocolate amargo picado";"128 kcal";"25 min";"- Em uma tigela, misture o ovo, azeite, adoçante, baunilha, farinha e bicarbonato até formar uma massa homogênea.
- Incorpore o chocolate picado.
- Leve a massa ao freezer por 10 minutos para firmar.
- Modele os cookies e asse a 200 °C por cerca de 10 minutos.
- Retire e deixe esfriar antes de servir.";"Saudável|Doce|Vegetariano|Sem Lactose"
"Torta Fit de Frango";"Nutritiva, prática e muito fofinha";"4 ovos|6 colheres de sopa de tapioca|2 colheres de sopa de requeijão|Sal e pimenta-do-reino a gosto|1 colher de sopa rasa de fermento em pó|300 g de frango desfiado cozido e temperado|Legumes a gosto (milho, cenoura, ervilha etc.)|Queijo ralado (opcional)";"330 kcal";"45 min";"- Em uma tigela, misture os ovos, tapioca, requeijão, sal e pimenta até ficar homogêneo.
- Acrescente o fermento e misture delicadamente.
- Incorpore o frango e os legumes.
- Despeje em uma forma untada e, se desejar, cubra with queijo.
- Asse em forno preaquecido a 180 °C por 30 minutos.";"Saudável|Salgado|Sem Glúten"
"Anéis de Abobrinha com Molho Fit";"Snack saudável e crocante para petiscar";"3 abobrinhas médias|20 g de parmesão ralado|1/2 dente de alho esmagado|1 colher de sopa de azeite|Pimenta-do-reino a gosto|Miolo das abobrinhas|1 fio de azeite|Sal e pimenta-do-reino a gosto";"180 kcal";"30 min";"- Corte a abobrinha em rodelas de 1 cm e retire o miolo.
- Em uma tigela, misture os anéis com azeite, alho, pimenta e parmesão.
- Disponha em assadeira com papel antiaderente e asse a 200 °C até dourar.
- Para o molho, refogue o miolo com azeite, sal e pimenta até dourar.
- Bata no liquidificador até virar um creme liso.
- Sirva os anéis acompanhados do molho.";"Saudável|Salgado|Vegetariano|Sem Glúten|Low Carb"
"Salgadinhos de Crepioca";"Crocante por fora e macio por dentro";"2 ovos|30 g de queijo muçarela|2 colheres de sopa de tapioca|Páprica e orégano a gosto";"240 kcal";"25 min";"- Misture os ovos, queijo, tapioca e temperos até formar uma massa homogênea.
- Cozinhe em frigideira untada como uma crepioca.
- Corte em quadradinhos.
- Leve à airfryer a 180 °C por 10–15 minutos até ficarem crocantes.
- Sirva em seguida.";"Saudável|Salgado|Vegetariano|Sem Glúten"
"Pizza com Massa de Arroz";"Leveza surpreendente em cada fatia";"1 xícara de arroz cozido|2 ovos|Molho de tomate a gosto|40 g de queijo muçarela|Sal e orégano a gosto";"310 kcal";"15 min";"- Bata no liquidificador o arroz, ovos e sal até obter uma massa lisa.
- Em frigideira untada, despeje a massa e espalhe.
- Quando a superfície secar, vire.
- Cubra com molho, queijo e orégano.
- Tampe até o queijo derreter e sirva.";"Saudável|Salgado|Rápido|Vegetariano|Sem Glúten"
"Nuggets de Frango Fit";"Crocância garantida sem fritura";"900 g de peito de frango sem pele|160 g de iogurte natural desnatado|120 g de leite desnatado|2 colheres de chá de cebola em pó|2 colheres de chá de alho em pó|2 colheres de chá de páprica defumada|2 colheres de chá de pimenta-do-reino|3 colheres de chá de sal|150 g de farinha de trigo|Azeite em spray";"454 kcal";"60 min";"- Fure os peitos com um garfo e corte em tiras de cerca de 3 cm.
- Misture iogurte, leite, metade dos temperos e 2/3 do sal.
- Envolva o frango e marine por 30 minutos.
- Misture a farinha com o restante dos temperos e sal.
- Incorpore 1/3 xícara da marinada até formar grumos.
- Empane o frango e leve à geladeira por 15 minutos.
- Borrife azeite e asse na airfryer a 200 °C por 12–15 minutos, virando na metade.";"Saudável|Salgado"
"Frango na Pimenta-Preta";"Para quem gosta de um toque picante";"750 g de sobrecoxa desossada sem pele em cubos|1 colher de chá de óleo de canola|1/2 cebola em cubos|1/2 pimentão verde em quadrados|3 dentes de alho picados|1 colher de sopa de mel|2 1/2 colheres de sopa de shoyu|2 colheres de sopa de molho de ostra ou mais shoyu|1 colher de chá de vinagre de arroz|1 colher de chá de óleo de gergelim|1/2 xícara de água|2 colheres de chá de amido de milho|1/2 colher de sopa de pimenta-do-reino moída|Cebolinha a gosto|500 g de arroz branco cozido";"456 kcal";"30 min";"- Em frigideira quente com óleo, doure os cubos de frango por todos os lados.
- Acrescente cebola e pimentão e refogue até macios.
- Junte alho e pimenta-do-reino.
- Adicione shoyu, molho de ostra, vinagre, mel e óleo de gergelim.
- Misture a água com o amido, adicione à panela e ferva até engrossar.
- Finalize com cebolinha e sirva com arroz.";"Saudável|Doce|Sem Glúten|Sem Lactose"
"Tigela de Batatas com Carne Oriental";"Combinação perfeita de texturas";"1400 g de batata em cubos|2 colheres de chá de sal|1 colher de chá de alho em pó|1 colher de chá de páprica|1/2 colher de chá de cebola em pó|1/4 colher de chá de pimenta-do-reino|1/2 colher de sopa de azeite|700 g de carne magra moída|1/2 colher de chá de óleo|1 cebola picada|1/2 colher de chá de bicarbonato (opcional)|3 dentes de alho ralados|2 colheres de sopa de mel|2 colheres de chá de vinagre de arroz|1/3 xícara de shoyu|1 colher de sopa de molho de ostra|1/2 xícara de água|2 colheres de chá de amido de milho|1 colher de chá de óleo de gergelim|1/3 xícara de maionese light|1 colher de sopa de sriracha|2 colheres de chá de mostarda Dijon";"496 kcal";"40 min";"- Misture as batatas com temperos e azeite e asse na airfryer a 180 °C por 20–25 minutos.
- Misture os ingredientes da maionese e reserve.
- Misture os ingredientes do molho da carne e reserve.
- Em frigideira quente, doure a carne até caramelizar.
- Junte a cebola e cozinhe até secar o líquido.
- Adicione o molho e cozinhe até engrossar.
- Sirva com as batatas assadas, maionese, cebolinha e gergelim.";"Saudável|Doce|Sem Glúten|Sem Lactose"
"Taco de Cenoura Proteico";"Versão proteica e criativa de um clássico";"3 cenouras médias raladas|30 g de queijo ralado|1 ovo|Sal, mix de pimentas e cebola em pó a gosto|1 fio de azeite|2 latas de atum em água (escorrido)|100 g de iogurte grego magro|Sal, pimenta, alho em pó e suco de limão a gosto|Espinafre a gosto";"215 kcal";"50 min";"- Misture a cenoura ralada, queijo, ovo e temperos até dar liga.
- Modele 3 discos finos sobre papel antiaderente e pincele azeite.
- Asse a 180 °C por 30–40 minutos até dourar.
- Misture o atum com iogurte e temperos.
- Recheie os tacos e finalize com espinafre.";"Saudável|Salgado|Sem Glúten|Low Carb"
"Pudim de YoPRO com 2 Ingredientes";"Apenas 2 ingredientes e muito sabor";"1 garrafa de YoPRO do sabor de sua preferência|1 envelope de gelatina incolor sem sabor";"160 kcal";"4h 10min";"- Retire um pouco do YoPRO e misture com a gelatina.
- Leve ao micro-ondas por 30 segundos até dissolver.
- Volte essa mistura à embalagem, feche e agite bem.
- Leve à geladeira por 4 horas até firmar.";"Saudável|Doce|Vegetariano|Sem Glúten|Sem Lactose|Low Carb"
"Salgadinho de Abóbora";"Sabor caseiro que todo mundo adora";"300 a 400 g de abóbora cabotiá cozida|80 a 120 g de farinha de arroz|Azeite para pincelar|Temperos a gosto";"170 kcal";"35 min";"- Cozinhe a abóbora no micro-ondas por 5–6 minutos até ficar macia.
- Amasse até virar purê.
- Adicione a farinha de arroz aos poucos com os temperos até formar uma massa moldável.
- Modele em rolinhos, corte, achate com um garfo.
- Coloque em assadeira untada, pincele azeite e asse até dourar.";"Saudável|Salgado|Vegetariano|Vegano|Sem Glúten|Sem Lactose"
"Frango BBQ com Mel e Purê de Batata";"O barbecue que você pode comer sem medo";"1300 g de batata inglesa|3 colheres de sopa (40 g) de requeijão light|1 xícara (240 g) de leite desnatado quente|2 1/2 colheres de chá de sal|900 g de peito de frango em cubos|1 colher de chá de pimenta-do-reino|4 colheres de chá de páprica defumada|2 colheres de chá de sal|1 colher de chá de azeite|1 1/2 colher de sopa de mel|1/3 xícara de molho barbecue|1 colher de sopa de sriracha ou molho de pimenta";"501 kcal";"45 min";"- Cozinhe as batatas até ficarem macias, amasse e misture com leite e requeijão.
- Reserve.
- Tempere o frango e grelhe até dourar.
- Adicione o mel e o barbecue ao frango e misture bem.
- Sirva o frango com o purê e salada.";"Saudável|Doce|Sem Glúten"
"Marmita de Lasanha Fit";"Camadas de sabor e muita nutrição";"1 colher de chá de azeite|1 cenoura ralada|1/2 cebola picada|3 dentes de alho ralados|500 g de carne moída magra|1 1/2 colher de chá de sal|180 g de extrato de tomate|80 g de lentilha crua|480 g de água|60 g de leite desnatado|88 g de massa para lasanha seca|200 g de queijo cottage|80 g de muçarela light|24 g de parmesão ralado";"492 kcal";"75 min";"- Deixe a lentilha de molho por 2–4 horas (opcional).
- Refogue cebola, cenoura e alho no azeite.
- Junte a carne e o extrato e doure.
- Acrescente a lentilha e a água.
- Cozinhe por 30 minutos até encorpar.
- Finalize com o leite.
- Bata o cottage com um pouco de leite até virar um creme.
- Em potes individuais, monte camadas de molho, massa e cottage.
- Finalize com muçarela e parmesão.
- Asse a 180 °C por 25–35 minutos ou na airfryer a 160 °C por 15–20 minutos.";"Saudável|Salgado|Low Carb"
"Cheetos Saudável";"O salgadinho saudável que vicia";"Bolinhas de milho (produtos naturais)|Azeite a gosto|Sal a gosto|Páprica a gosto|Parmesão ralado a gosto";"160 kcal";"10 min";"- Misture as bolinhas de milho com azeite, sal, páprica e parmesão.
- Espalhe em assadeira com papel antiaderente.
- Asse a 200 °C por cerca de 5 minutos até crocantes.";"Saudável|Salgado|Rápido|Vegetariano|Sem Glúten"
"Macarrão Alfredo de Alho Fit";"Elegância e cremosidade no seu prato";"240 g de macarrão penne ou parafuso cru|400 g de brócolis|240 g de peito de frango|Sal|1/2 colher de sopa de páprica defumada|1/2 colher de chá de alho em pó|1/2 colher de chá de cebola em pó|1/4 colher de chá de pimenta-caiena|1/4 colher de chá de pimenta-do-reino|1/2 colher de chá de azeite|390 g de queijo cottage|120 g de leite desnatado|24 g de parmesão ralado|1 1/2 colher de chá de alho em pó ou fresco|Sal e pimenta";"400 kcal";"30 min";"- Tempere e asse o frango na airfryer até dourar, depois corte em cubos.
- Cozinhe o macarrão conforme a embalagem.
- Nos últimos 7 minutos, adicione o brócolis.
- Bata no liquidificador o cottage, leite, parmesão, alho, sal e pimenta até formar um creme.
- Escorra a massa, reservando um pouco da água do cozimento.
- Misture o molho, o frango e a massa, ajustando a cremosidade com a água reservada.
- Finalize com cebolete, se desejar.";"Saudável|Salgado"
